0,273.16,1.8648
26.84,300,1.9912
50,323.16,2.0976
76.84,350,2.2181
100,373.16,2.3199
126.84,400,2.4355
150,423.16,2.5333
176.84,450,2.6448
200,473.16,2.7393
226.84,500,2.8472
250,523.16,2.9389
276.84,550,3.0436
300,573.16,3.1328
326.84,600,3.2348
350,623.16,3.3217
376.84,650,3.4212
400,673.16,3.5061
426.84,700,3.6034
450,723.16,3.6864
476.84,750,3.7817
500,773.16,3.863
526.84,800,3.9564
550,823.16,4.0363
576.84,850,4.1279
600,873.16,4.2063
626.84,900,4.2964
650,923.16,4.3735
676.84,950,4.4622
700,973.16,4.538
726.84,1000,4.6253
750,1023.16,4.7
776.84,1050,4.786
800,1073.16,4.8596
826.84,1100,4.9444
850,1123.16,5.017
876.84,1150,5.1007
900,1173.16,5.1724
926.84,1200,5.2549
950,1223.16,5.3257
976.84,1250,5.4072
1000,1273.16,5.4772
1026.84,1300,5.5578
1050,1323.16,5.6269
1076.84,1350,5.7065
1100,1373.16,5.7749
1126.84,1400,5.8537
1150,1423.16,5.9213
1176.84,1450,5.9992
1200,1473.16,6.0662
1226.84,1500,6.1433
1250,1523.16,6.2096
1276.84,1550,6.286
1300,1573.16,6.3516
1326.64,1600,6.4272
1350,1623.16,6.4922
1376.84,1650,6.5672
1400,1673.16,6.6316
1426.84,1700,6.7058
1450,1723.16,6.7697
1476.84,1750,6.8435
1500,1773.16,6.9066
1526.84,1800,6.9796
